Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
André Hahn,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
André Hahn,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Anette Kramme,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,AnetteKramme,query (4).csv
Anette Kramme,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,AnetteKramme,query (4).csv
Anette Kramme,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,AnetteKramme,query (4).csv
Angela Hohmann,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2024,,Current,,query (4).csv
Angela Merkel,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AngelaMerkeICDU,query (4).csv
Angela Rudzka,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AngelaRudzka,query (4).csv
Angelika Glöckner,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,A_Gloeckner,query (4).csv
Angelika Glöckner,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,A_Gloeckner,query (4).csv
Angelika Glöckner,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,A_Gloeckner,query (4).csv
Anikó Glogowski-Merten,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,AnikoMerten,query (4).csv
Anita Schäfer,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,SchaeferCDU,query (4).csv
Anja Hajduk,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2017,2021,Former,HajdukBundestag,query (4).csv
Anja Karliczek,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AnjaKarliczek,query (4).csv
Anja Karliczek,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,AnjaKarliczek,query (4).csv
Anja Karliczek,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,AnjaKarliczek,query (4).csv
Anja Liebert,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,anja_liebert,query (4).csv
Anja Reinalter,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,AnjaReinalter,query (4).csv
Anja Reinalter,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,AnjaReinalter,query (4).csv
Anja Schulz,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,_anja_schulz,query (4).csv
Anja Troff-Schaffarzyk,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,anja_troff,query (4).csv
Anja Troff-Schaffarzyk,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,anja_troff,query (4).csv
Anja Weisgerber,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,anjaweisgerber,query (4).csv
Anja Weisgerber,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,anjaweisgerber,query (4).csv
Anja Weisgerber,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,anjaweisgerber,query (4).csv
Anke Domscheit-Berg,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,anked,query (4).csv
Anke Domscheit-Berg,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2021,,Current,anked,query (4).csv
Anke Hennig,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,,query (4).csv
Ann-Veruschka Jurisch,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,avjurisch,query (4).csv
Anna Aeikens,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Anna Christmann,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,annachristmann,query (4).csv
Anna Christmann,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2017,2021,Former,annachristmann,query (4).csv
Anna Kassautzki,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,annakassautzki,query (4).csv
Anna Lührmann,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,annaluehrmann,query (4).csv
Anna Lührmann,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,annaluehrmann,query (4).csv
Anna Rathert,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Annalena Baerbock,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2017,2021,Former,ABaerbock,query (4).csv
Annalena Baerbock,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,2025,Former,ABaerbock,query (4).csv
Annalena Baerbock,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,ABaerbock,query (4).csv
Anne Janssen,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Anne Janssen,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Anne König,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,annekoenig_,query (4).csv
Anne König,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,annekoenig_,query (4).csv
Anne Zerr,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Anne-Mieke Bremer,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Anne-Monika Spallek,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,AnneSpallek,query (4).csv
Annegret Kramp-Karrenbauer,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,2021,Former,akk,query (4).csv
Annette Sawade,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2013,,Current,AnnetteSawade,query (4).csv
Annette Widmann-Mauz,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,AWidmannMauz,query (4).csv
Annette Widmann-Mauz,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AWidmannMauz,query (4).csv
Annika Klose,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,AnniKlose,query (4).csv
Annika Klose,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,AnniKlose,query (4).csv
Ansgar Heveling,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Ansgar Heveling,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2013,,Current,,query (4).csv
Ansgar Heveling,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Ansgar Heveling,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
