Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Nicola Grimaldi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nicola Irto,Male,Italy,Democratic Party,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Nicola Molteni,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,NicolaMolteni,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nicola Morra,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,NicolaMorra63,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Nicola Pellicani,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nicola Provenza,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nicole Matteoni,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nicoletta Spelgatti,Female,Italy,Lega Nord,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Novo Umberto Maerna,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Nunzia Catalfo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,CatalfoNunzia,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Nunzio Angiola,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Orfeo Mazzella,Male,Italy,,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Orietta Vanin,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Osvaldo Napoli,Male,Italy,Christian Democracy,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Ouidad Bakkali,Female,Italy,Democratic Party,,Legislative,,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola Ambrogio,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,AmbrogioPaola,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paola Binetti,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paola Boldrini,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,boldrini_paola,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paola Carinelli,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,berenice0104,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola De Micheli,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,paola_demicheli,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola Deiana,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola Frassinetti,Female,Italy,National Alliance,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola Mancini,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paola Maria Chiesa,Female,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paola Nugnes,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paola Taverna,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,PaolaTavernaM5S,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Arrigoni,Male,Italy,Lega Nord,,Legislative,2018,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Barelli,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Ficara,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Formentini,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Giuliodori,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Grimoldi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,GrimoldiPaolo,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Lattanzio,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Marcheschi,Male,Italy,The People of Freedom,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Parentela,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,PaoloParentela,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Paternoster,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Pulciani,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Ripamonti,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Romani,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Romano,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,91.66666666666666,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Russo,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Saviane,Male,Italy,Lega Nord,,Legislative,2018,2021,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Siani,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Tiramani,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Tosato,Male,Italy,Lega Nord,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Tosato,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Paolo Trancassini,Male,Italy,National Alliance,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Paolo Zangrillo,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,m,Italy,Forza Italia,Minister for Public Administration,Executive,Council,2022,Incumbent,
Paolo Zangrillo,Male,Italy,Forza Italia,,Legislative,2022,,Current,,False,100.0,m,Italy,Forza Italia,Minister for Public Administration,Executive,Council,2022,Incumbent,
Pasquale Maglione,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pasquale Pepe,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Patrizia Marrocco,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Patrizia Prestipino,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Patrizia Terzoni,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,PatriziaTerzoni,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Patrizio Giacomo La Pietra,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Patrizio Giacomo La Pietra,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Patty L'Abbate,Female,Italy,Five Star Movement,,Legislative,,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pier Ferdinando Casini,Male,Italy,Union of the Centre,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pier Ferdinando Casini,Male,Italy,Union of the Centre,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pier Luigi Bersani,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,pbersani,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Piera Aiello,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pierantonio Zanettin,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pierantonio Zanettin,Male,Italy,The People of Freedom,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Piergiorgio Cortelazzo,Male,Italy,National Alliance,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Piero De Luca,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pierpaolo Sileri,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Dal Moro,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,85.71428571428572,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pietro Grasso,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,PietroGrasso,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Lorefice,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Lorefice,Male,Italy,Five Star Movement,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Navarra,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pietro Patton,Male,Italy,,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Pisani,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Pietro Pittalis,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Pino Cabras,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,pinokabras,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Primo Di Nicola,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Rachele Scarpa,Female,Italy,Democratic Party,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rachele Silvestri,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele Baratto,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele Bruno,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele De Rosa,Male,Italy,Five Star Movement,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raffaele Fantetti,Male,Italy,Associative Movement of Italians Abroad,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raffaele Mautone,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raffaele Nevi,Male,Italy,The People of Freedom,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele Speranzon,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raffaele Topo,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele Trano,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,raffaele_trano,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaele Volpi,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaella Fiormaria Marin,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raffaella Paita,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raffaella Paita,Female,Italy,Democratic Party,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Raoul Russo,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Raphael Raduzzi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,RaphaelRaduzzi,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rebecca Frassini,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Renata Polverini,Female,Italy,independent politician,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Renate Gebhard,Female,Italy,South Tyrolean People's Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Renato Ancorotti,Male,Italy,,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Renato Brunetta,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,m,Italy,Forza Italia,Minister of Public Administration,Executive,Council,2021,Previous,
Renato Schifani,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,RenatoSchifani,True,100.0,m,Italy,Forza Italia,President of Sicily,Executive,Regional President,2022,Incumbent,
Renzo Tondo,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,renzotondo,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Augusto Marchetti,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Fraccaro,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,riccardo_fra,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Magi,Male,Italy,Italian Radicals,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Molinari,Male,Italy,Lega per Salvini Premier,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Nencini,Male,Italy,Italian Socialist Party,,Legislative,2018,2022,Former,NenciniPsi,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Riccardo Olgiati,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Ricciardi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Tucci,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Riccardo Zucconi,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rina De Lorenzo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberta Alaimo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberta Ferrero,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberta Pinotti,Female,Italy,Democratic Party,,Legislative,2018,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberta Toffanin,Female,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Bagnasco,Male,Italy,Forza Italia,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Bagnasco,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Berardi,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Calderoli,Male,Italy,Lega Nord,,Legislative,2022,,Current,,False,100.0,m,Italy,League,Minister for Regional Affairs and Autonomies,Executive,Council,2022,Incumbent,
Roberto Calderoli,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,m,Italy,League,Minister for Regional Affairs and Autonomies,Executive,Council,2022,Incumbent,
Roberto Caon,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,Roberto__Caon,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Cassinelli,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Cataldi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Cataldi,Male,Italy,Five Star Movement,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Fico,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,Roberto_Fico,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Giachetti,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,bobogiac,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Gualtieri,Male,Italy,Democratic Party,,Legislative,2020,2021,Former,gualtierieurope,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Marti,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Marti,Male,Italy,Lega Nord,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Menia,Male,Italy,Future and Freedom,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Morassut,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Novelli,Male,Italy,National Alliance,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Occhiuto,Male,Italy,Forza Italia,,Legislative,2018,2021,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Paolo Ferrari,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Pella,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Rampi,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,rampi,True,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Roberto Rossini,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Rosso,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Rosso,Male,Italy,Forza Italia,,Legislative,2022,,Current,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Speranza,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,robersperanza,True,100.0,m,Italy,Article One,Minister of Health,Executive,Council,2021,Previous,
Roberto Traversi,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roberto Turri,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Roger De Menech,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,RogerDeMenech,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Romina Mura,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,RominaMura,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosa Alba Testamento,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosa Maria Di Giorgi,Female,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosa Menga,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosa Silvana Abate,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Rosalba Cimino,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosalba De Giorgi,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rosellina Sbrana,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Rossana Boldi,Female,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,81.25,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rossano Sasso,Male,Italy,Lega Nord,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Rossella Accoto,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Rossella Muroni,Female,Italy,Green Italy,,Legislative,2018,2022,Former,RossellaMuroni,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Ruggiero Quarto,Male,Italy,Five Star Movement,,Legislative,,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Sabrina De Carlo,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Sabrina Licheri,Female,Italy,Five Star Movement,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Sabrina Ricciardi,Female,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Salvatore Caiata,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Salvatore Deidda,Male,Italy,Brothers of Italy,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Salvatore Margiotta,Male,Italy,Democratic Party,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Salvatore Micillo,Male,Italy,Five Star Movement,,Legislative,2018,2022,Former,micillom5s,True,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Salvatore Sciascia,Male,Italy,Forza Italia,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Salvo Pogliese,Male,Italy,The People of Freedom,,Legislative,2022,,Current,,False,100.0,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Salvo Sallemi,Male,Italy,Brothers of Italy,,Legislative,2022,,Current,,False,86.66666666666667,,Italy,,Member of Senate,Legislative,Upper-Chamber Parliament,,,
Sandra Savino,Female,Italy,The People of Freedom,,Legislative,2018,2022,Former,,False,100.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
