Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Thorsten Frei,Male,Germany,Christian Democratic Union,,Executive,,,Current,thorsten_frei,True,100.0,m,Germany,CDU,Head of the Chancellery,Executive,Cabinet,2025,Incumbent,
Verena Hubertz,Female,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,verenahubertz,True,100.0,f,Germany,SPD,"Federal Minister for Housing, Urban Development and Building",Executive,Cabinet,2025,Incumbent,
Volker Wissing,Male,Germany,Free Democratic Party,,Executive,2021,2025,Former,Wissing,True,100.0,m,Germany,Independent,Federal Minister of Justice and Consumer Protection,Executive,Cabinet,2024,Previous,
Volker Wissing,Male,Germany,Free Democratic Party,,Executive,2024,2025,Former,Wissing,True,100.0,m,Germany,Independent,Federal Minister of Justice and Consumer Protection,Executive,Cabinet,2024,Previous,
Wolfgang Schmidt,Male,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,W_Schmidt_,True,100.0,m,Germany,SPD,Federal Minister for Special Affairs & Head of the Chancellery,Executive,Cabinet,2021,Previous,
Achim Kessler,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,AchimKessler,True,100.0,m,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Achim Köhler,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AchimKoehlerAfD,True,80.0,m,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Achim Post,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,Achim_P,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2024,Incumbent,
Achim Post,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,Achim_P,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2024,Incumbent,
Adis Ahmetovic,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Adis Ahmetovic,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,agnieszka_mdb,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,agnieszka_mdb,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Agnieszka Brugger,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2017,2021,Former,agnieszka_mdb,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Albert Rupprecht,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,StegemannAlbert,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,StegemannAlbert,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Albert Stegemann,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,StegemannAlbert,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Albert Weiler,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Albrecht Glaser,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,GlaserMdb,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Albrecht Glaser,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,GlaserMdb,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alexander Bartz,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2022,2025,Former,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2023,Incumbent,
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,CSU,Federal Minister of the Interior,Executive,Cabinet,2025,Incumbent,
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,CSU,Federal Minister of the Interior,Executive,Cabinet,2025,Incumbent,
Alexander Dobrindt,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CSU,Federal Minister of the Interior,Executive,Cabinet,2025,Incumbent,
Alexander Engelhard,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,engelhardmdb,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Alexander Engelhard,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,engelhardmdb,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Alexander Föhr,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2023,2025,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2023,Incumbent,
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alexander Gauland,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alexander Graf Lambsdorff,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2023,Former,Lambsdorff,True,88.88888888888889,m,Germany,FDP,,Legislative,Bundestag,2021,Previous,
